name,rating_nums,summary,author,peple_nums
追风筝的人,8.9,为你，千千万万遍,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,"(
                    325034人评价
                )"
解忧杂货店,8.6,一碗精心熬制的东野牌鸡汤，拒绝很难,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,"(
                    296341人评价
                )"
小王子,9.0,献给长成了大人的孩子们,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,"(
                    250546人评价
                )"
白夜行,9.1,暗夜独行的残破灵魂，爱与恶本就难分难舍,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,"(
                    219391人评价
                )"
围城,8.9,对于“人艰不拆”四个字最彻底的违抗,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,"(
                    203919人评价
                )"
挪威的森林,8.0,村上之发轫，多少人的青春启蒙,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,"(
                    198604人评价
                )"
三体,8.8,你我不过都是虫子,刘慈欣 / 重庆出版社 / 2008-1 / 23.00,"(
                    177241人评价
                )"
嫌疑人X的献身,8.9,数学好是一种极致的浪漫,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,"(
                    171070人评价
                )"
活着,9.1,活着本身就是人生最大的意义,余华 / 南海出版公司 / 1998-5 / 12.00元,"(
                    152705人评价
                )"
红楼梦,9.6,谁解其中味？,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,"(
                    134529人评价
                )"
百年孤独,9.2,尼采所谓的永劫复归，一场无始无终的梦魇,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,"(
                    137882人评价
                )"
不能承受的生命之轻,8.5,朝向媚俗的一次伟大的进军,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,"(
                    142352人评价
                )"
看见,8.8,在这里看见中国,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,"(
                    135147人评价
                )"
达·芬奇密码,8.2,一切畅销的因素都有了,[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元,"(
                    133819人评价
                )"
平凡的世界（全三部）,9.0,中国当代城乡生活全景,路遥 / 人民文学出版社 / 2005-1 / 64.00元,"(
                    111649人评价
                )"
三体Ⅱ,9.3,无边的黑暗森林，比第一部更为恢弘壮丽,刘慈欣 / 重庆出版社 / 2008-5 / 32.00,"(
                    104557人评价
                )"
三体Ⅲ,9.2,终章，何去何从,刘慈欣 / 重庆出版社 / 2010-11 / 38.00元,"(
                    104390人评价
                )"
简爱（英文全本）,8.5,灰姑娘在十九世纪,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,"(
                    113971人评价
                )"
哈利·波特与魔法石,9.0,羽加迪姆勒维奥萨！,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,"(
                    92793人评价
                )"
天才在左 疯子在右,8.2,简称“疯癫与文明”,高铭 / 武汉大学出版社 / 2010-2 / 29.80元,"(
                    101506人评价
                )"
送你一颗子弹,8.6,犀利又温柔，穿过胸口隐隐作痛,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,"(
                    94665人评价
                )"
傲慢与偏见,8.8,所有现代言情小说的母体,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元,"(
                    91469人评价
                )"
我们仨,8.7,平淡，坚忍，温情,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,"(
                    91851人评价
                )"
飘,9.3,革命时期的爱情，随风而逝,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,"(
                    84766人评价
                )"
